10846 10846
ne 0.234253 0.765747
nf 0.659574 0.340426
ng 0.527559 0.472441
nx 0.000000 1.000000
ny 0.398438 0.601562
nz 0.570175 0.429825
np 0.666667 0.333333
nq 0.333333 0.666667
nr 0.604167 0.395833
ns 0.625806 0.374194
nt 0.573171 0.426829
nu 0.547619 0.452381
nv 0.565217 0.434783
nw 0.428571 0.571429
a- 0.000000 1.000000
n- 1.000000 0.000000
